hashtag,parent_hashtag,category,w1,3d1,3d2,3d3,zipper,charging
myneighbortotoro,anime,object,False,True,True,False,False,False
mythicalbeast,animal,object,False,False,False,True,True,True
nakiriayame,hololive,object,False,True,False,False,False,False
namsantower,nature,object,False,True,True,False,False,False
napoli,football,object,False,False,True,False,False,False
naraka,game,object,False,False,False,True,True,True
naruto,anime,object,True,True,True,False,False,False
narutoshippuden,anime,object,False,False,False,True,True,True
nation,religion,object,True,False,False,False,False,False
natra,cartoon,object,False,True,True,True,True,True
nature,,object,True,True,True,True,True,True
nba,basketball,object,True,True,True,False,False,False
netherlandsnationalteam,football,object,False,True,False,False,False,False
new,other,object,True,True,True,False,False,False
newyear,holiday,object,True,True,True,True,True,True
newyearanimal,newyear,object,False,True,True,False,False,False
